#x	error
0.009901	0.000063993431642
0.019802	0.000063673336815
0.029703	0.000063355507365
0.039604	0.000063039925785
0.049505	0.000062726574707
0.059406	0.000062415436906
0.069307	0.000062106495296
0.079208	0.000061799732932
0.089109	0.000061495133002
0.099010	0.000061192678834
0.108911	0.000060892353891
0.118812	0.000060594141768
0.128713	0.000060298026196
0.138614	0.000060003991034
0.148515	0.000059712020275
0.158416	0.000059422098040
0.168317	0.000059134208580
0.178218	0.000058848336272
0.188119	0.000058564465619
0.198020	0.000058282581252
0.207921	0.000058002667923
0.217822	0.000057724710510
0.227723	0.000057448694013
0.237624	0.000057174603550
0.247525	0.000056902424363
0.257426	0.000056632141812
0.267327	0.000056363741375
0.277228	0.000056097208646
0.287129	0.000055832529338
0.297030	0.000055569689278
0.306931	0.000055308674405
0.316832	0.000055049470775
0.326733	0.000054792064555
0.336634	0.000054536442022
0.346535	0.000054282589566
0.356436	0.000054030493685
0.366337	0.000053780140986
0.376238	0.000053531518184
0.386139	0.000053284612101
0.396040	0.000053039409665
0.405941	0.000052795897909
0.415842	0.000052554063970
0.425743	0.000052313895089
0.435644	0.000052075378608
0.445545	0.000051838501973
0.455446	0.000051603252730
0.465347	0.000051369618523
0.475248	0.000051137587098
0.485149	0.000050907146298
0.495050	0.000050678284064
0.504950	0.000050450988432
0.514851	0.000050225247536
0.524752	0.000050001049604
0.534653	0.000049778382959
0.544554	0.000049557236017
0.554455	0.000049337597287
0.564356	0.000049119455370
0.574257	0.000048902798957
0.584158	0.000048687616832
0.594059	0.000048473897866
0.603960	0.000048261631021
0.613861	0.000048050805346
0.623762	0.000047841409979
0.633663	0.000047633434142
0.643564	0.000047426867146
0.653465	0.000047221698384
0.663366	0.000047017917338
0.673267	0.000046815513571
0.683168	0.000046614476730
0.693069	0.000046414796543
0.702970	0.000046216462823
0.712871	0.000046019465462
0.722772	0.000045823794433
0.732673	0.000045629439788
0.742574	0.000045436391658
0.752475	0.000045244640257
0.762376	0.000045054175870
0.772277	0.000044864988865
0.782178	0.000044677069683
0.792079	0.000044490408842
0.801980	0.000044304996936
0.811881	0.000044120824632
0.821782	0.000043937882675
0.831683	0.000043756161879
0.841584	0.000043575653132
0.851485	0.000043396347397
0.861386	0.000043218235705
0.871287	0.000043041309161
0.881188	0.000042865558938
0.891089	0.000042690976281
0.900990	0.000042517552503
0.910891	0.000042345278987
0.920792	0.000042174147183
0.930693	0.000042004148609
0.940594	0.000041835274851
0.950495	0.000041667517560
0.960396	0.000041500868457
0.970297	0.000041335319320
0.980198	0.000041170862000
0.990099	0.000041007488409
